,bits,overhead_ra,overhead_naive
1,8,0.71875,0.65625
2,9,0.359375,0.328125
3,10,0.1796875,0.1640625
4,11,0.08984375,0.11328125
5,12,0.060546875,0.087890625
6,13,0.0458984375,0.0751953125
7,14,0.03857421875,0.06884765625
8,15,0.034912109375,0.065673828125
9,16,0.0330810546875,0.0640869140625
10,17,0.03216552734375,0.06329345703125
11,18,0.031707763671875,0.062896728515625
12,19,0.0314788818359375,0.0626983642578125
13,20,0.0313644409179688,0.0625991821289062
14,21,0.0313072204589844,0.0625495910644531
15,22,0.0312786102294922,0.0625247955322266
16,23,0.0312643051147461,0.0625123977661133
17,24,0.031257152557373,0.0625061988830566
18,25,0.0312535762786865,0.0625030994415283
19,26,0.0312517881393433,0.0625015497207642
20,27,0.0312508940696716,0.0625007748603821
21,28,0.0312504470348358,0.062500387430191
22,29,0.0312502235174179,0.0625001937150955
23,30,0.031250111758709,0.0625000968575478
24,31,0.0312500558793545,0.0625000484287739
25,32,0.0312500279396772,0.0625000242143869
26,33,0.0312500214204192,0.0625000121071935
27,34,0.0312500181607902,0.0625000060535967
