,bits,build_time,build_time.se,query_time,bits.1,time,time.se
1,8,0,0,41.9090909090909,8,41.9090909090909,0.539359889970594
2,9,0,0,51.6363636363636,9,51.6363636363636,0.504524979109513
3,10,0,0,57.2727272727273,10,57.2727272727273,1.27207775634268
4,11,0,0,60,11,60,0.632455532033676
5,12,0,0,63.9090909090909,12,63.9090909090909,0.301511344577764
6,13,0,0,65.5454545454545,13,65.5454545454545,0.687551650952329
7,14,0,0,71.6363636363636,14,71.6363636363636,1.02691063610494
8,15,0,0,107.272727272727,15,107.272727272727,1.27207775634268
9,16,0,0,141,16,141,0.774596669241483
10,17,0,0,152.272727272727,17,152.272727272727,0.646669790682863
11,18,0,0,158.090909090909,18,158.090909090909,0.301511344577764
12,19,0,0,161.272727272727,19,161.272727272727,0.467099366496914
13,20,0,0,165.181818181818,20,165.181818181818,0.404519917477945
14,21,0,0,169.272727272727,21,169.272727272727,0.467099366496914
15,22,0,0,173.181818181818,22,173.181818181818,0.603022689155527
16,23,0,0,179.090909090909,23,179.090909090909,0.301511344577764
17,24,0,0,185.636363636364,24,185.636363636364,0.924416277737175
18,25,1,0,205.818181818182,25,206.818181818182,19.5541207003444
19,26,2,0,216,26,218,11
20,27,5,0,251.818181818182,27,256.818181818182,9.25006142485748
21,28,11,0,272.454545454545,28,283.454545454545,9.6887939018604
22,29,23.2727272727273,3.60807175901226,294.818181818182,29,318.090909090909,8.3600782945442
23,30,44,0,311.909090909091,30,355.909090909091,2.54772625902178
24,31,87.9090909090909,0.301511344577764,345.727272727273,31,433.636363636364,9.6257231133326
25,32,175.636363636364,0.674199862463242,390.818181818182,32,566.454545454545,6.93344988247029
26,33,351.090909090909,0.301511344577764,456.363636363636,33,807.454545454545,15.0357150569146
27,34,706.714285714286,2.28868854108532,508.571428571429,34,1215.28571428571,16.5701969985703
